character,attributes
argo_the_rat_(sword_art_online),"1girl, small_breasts, medium_breasts, gloves, fingerless_gloves, hood, animal_ears, cat_tail, tail, cat_ears, collarbone, shorts"
protagonist_(hogwarts_legacy),"1girl, shirt, skirt, hogwarts_school_uniform, school_uniform, white_shirt, shoes, collared_shirt, long_skirt, necktie, thighhighs, black_robe"
ingrid_(sennen_sensou_aigis),"1girl, large_breasts, huge_breasts, ponytail, cleavage, ribbon, gloves, swept_bangs, cape, hair_ribbon, thighhighs, swimsuit"
vivia_twilight_(master_detective_archives:_rain_code),"1boy, long_sleeves, jacket, coat, open_coat, black_jacket, black_coat, black_pants, pants, purple_jacket, multicolored_hair, green_hair"
dvach-tan_(2ch.ru),"1girl, medium_breasts, large_breasts, twintails, collarbone, short_twintails, panties, shorts, short_shorts, shirt, orange_hair, orange_eyes"
aladdin_(sinoalice),"1boy, jewelry, bracelet, pants, gloves, jacket, blonde_hair, blue_eyes, short_hair, aqua_eyes"
lemres_(puyopuyo),"1boy, 1girl, hat, green_hat, gloves, witch_hat, green_gloves, long_sleeves, pants, shirt, jacket, orange_shirt"
lucilla_(wuthering_waves),"1girl, large_breasts, medium_breasts, earrings, jewelry, black_hat, hat, cleavage, jacket, white_jacket, gloves, dress"
marguerite_(one_piece),"1girl, large_breasts, cleavage, thighhighs, cape, skirt, striped_thighhighs, collarbone, vertical-striped_thighhighs, boots, bra, bow_(weapon)"
amane_tsukuyo_(magia_record:_mahou_shoujo_madoka_magica_gaiden),"1girl, large_breasts, bow, hair_bow, ponytail, long_sleeves, kimono, ribbon, shoes, high_ponytail, red_ribbon, shirt"
jeff_the_killer_(creepypasta),"1boy, 1girl, hood, hoodie, white_hoodie, long_sleeves, hood_down, bags_under_eyes, hood_up, puffy_long_sleeves, puffy_sleeves, double-parted_bangs"
sita_(fate),"1girl, 1boy, small_breasts, twintails, fake_horns, horns, detached_sleeves, panties, thighhighs, dress, black_panties, bow"
delmin_(show_by_rock!!),"1girl, horns, animal_ears, blunt_bangs, tail, flower, hair_flower, dress, pink_horns, ribbon, demon_tail, purple_horns"
qin_yi_(shining_nikki),"1boy, long_sleeves, jewelry, earrings, tassel_earrings, mandarin_collar, wide_sleeves, parted_bangs, robe, flower, pants, shirt"
klinklang_(pokemon),"1girl, 1boy, small_breasts, boots, elbow_gloves, gears, gloves, jewelry, thigh_boots, black_jacket, bracelet, cape"
freyja_(summer)_(fire_emblem),"1girl, large_breasts, huge_breasts, horns, bikini, swimsuit, goat_horns, flower, white_bikini, jewelry, cleavage, red_horns"
cliffjumper_(transformers),"1boy, 1girl, large_breasts, horns, belt_buckle, elbow_gloves, fake_horns, fingerless_gloves, garter_straps, gloves, thighhighs, black_skirt"
anzai_miyako_(idolmaster),"1girl, small_breasts, shirt, hat, bow, gloves, long_sleeves, white_shirt, bag, frills, capelet, flower_symbol"
amamiya_natsumi_(original),"1girl, large_breasts, swimsuit, one-piece_swimsuit, competition_swimsuit, highleg_one-piece_swimsuit, white_one-piece_swimsuit, cleavage, jacket, ponytail, collarbone, track_jacket"
fennel_(pokemon),"1girl, medium_breasts, large_breasts, glasses, lab_coat, flower, shirt, sleeves_rolled_up, bra, cleavage, panties, bow"
you_jiujiu_(touqi_guaitan),"1boy, shirt, hood, hood_down, hoodie, white_shirt, long_sleeves, purple_hoodie, high_collar, pants, black_pants, jacket"
urshifu_(single),"1boy, black_eyes"
carol_(skullgirls),"1girl, small_breasts, medium_breasts, parted_bangs, school_uniform, dress, necktie, hospital_gown, skirt, flower, brown_hair, red_eyes"
leo_kliesen_(tekken),"1girl, gloves, fingerless_gloves, jacket, belt, scarf, pants, boots, red_jacket, shirt, shorts, animal_ears"
muska_(tenkuu_no_shiro_laputa),"1boy, glasses, sunglasses, suit, ascot, brown_hair, blonde_hair"
paracelsus_von_hohenheim_(fate),"1boy, long_sleeves, wide_sleeves, belt_collar, collar, high_collar, robe, white_robe, armored_boots, black_pants, boots, braid"
ump9_(shiba_investigator)_(girls'_frontline),"1girl, loli, twintails, shirt, bow, hair_bow, white_shirt, black_bow, shorts, sleeveless_shirt, black_shorts, collared_shirt"
renown_(azur_lane),"1girl, small_breasts, large_breasts, medium_breasts, braid, capelet, skirt, gloves, long_sleeves, blue_capelet, half_up_braid, white_gloves"
kiri_(sub-res),"1girl, huge_breasts, large_breasts, animal_ears, fox_ears, tail, fox_tail, thighhighs, black_thighhighs, gloves, wide_sleeves, elbow_gloves"
facehugger_(alien_(series)),"1girl, loli, large_breasts, breasts_out, shirt, bodysuit, ribbon, thighhighs, gloves, white_shirt, ponytail, skirt"
tamanoi_nana_(nijisanji),"1girl, medium_breasts, dress, long_sleeves, frills, hat, blue_dress, braid, sleeves_past_wrists, jewelry, shorts, detached_sleeves"
reno_(reno_bunnino)_(azur_lane),"1girl, large_breasts, huge_breasts, animal_ears, rabbit_ears, fake_animal_ears, leotard, gloves, black_leotard, elbow_gloves, sideless_shirt, single_elbow_glove"
lymle_lemuri_phi_(star_ocean),"1girl, twintails, dress, bow, flower, hair_bow, long_hair, brown_hair, brown_eyes"
amano_megumi_(amano_megumi_wa_suki_darake!),"1girl, large_breasts, huge_breasts, swimsuit, bikini, fang, cleavage, side-tie_bikini_bottom, twintails, skirt, low_twintails, ponytail"
bard_(ragnarok_online),"1boy, 1girl, shirt, cape, brown_shirt, long_sleeves, pants, layered_sleeves, short_over_long_sleeves, short_sleeves, gloves, shoes"
tapu_fini_(pokemon),"1girl, blue_eyes, long_hair, blue_hair, very_long_hair"
hamburglar_(mcdonald's),"1boy, 1girl, cape, mask, necktie, gloves, hat, shoes, black_cape, red_gloves, shirt, striped_shirt"
hinokuma_ran_(nanashi_inc.),"1girl, small_breasts, medium_breasts, animal_ears, bear_ears, gloves, paw_gloves, long_sleeves, bow, shirt, shorts, skirt"
riasu-chan_(ayuma_sayu),"1girl, large_breasts, twintails, tail, demon_tail, thighhighs, cleavage, wings, head_wings, choker, panties, swimsuit"
inamori_mika_(gakuen_utopia_manabi_straight!),"1girl, school_uniform, seiou_gakuen_school_uniform, bow, pink_bow, skirt, plaid_skirt, blue_hair, hair_ornament, hairclip, short_hair"
quincy_(warship_girls_r),"1girl, medium_breasts, large_breasts, hat, thighhighs, ribbon, gloves, mini_hat, cleavage, elbow_gloves, white_thighhighs, skirt"
ibis_douglas_(super_robot_wars),"1girl, gloves, shorts, fingerless_gloves, boots, jewelry, skirt, red_hair, short_hair, purple_eyes, red_eyes, orange_hair"
kori_(trouble_spirit),
ajna_(indivisible),"1girl, medium_breasts, small_breasts, jewelry, bike_shorts, bracelet, sandals, sash, shorts, shirt, skirt, black_shorts"
sengoku_kamuri_(slow_start),"1girl, ribbon, hair_ribbon, school_uniform, long_sleeves, skirt, pleated_skirt, serafuku, cardigan, shirt, black_cardigan, sailor_collar"
tamasaka_makoto_(tokyo_7th_sisters),"1girl, medium_breasts, small_breasts, panties, gloves, thighhighs, cleavage, skirt, animal_ears, dress, long_hair, brown_hair"
ira_(precure),"1boy, 1girl, wings, bat_wings, choker, head_wings, shirt, boots, jacket, pants, capri_pants, fang"
hinata_mashu_(nanashi_inc.),"1girl, large_breasts, medium_breasts, bow, bowtie, dress, white_bow, white_bowtie, yellow_dress, frills, frilled_dress, off-shoulder_dress"
m2hb_(girls'_frontline),"1girl, large_breasts, cleavage, hat, gloves, jacket, shirt, white_gloves, choker, boots, jewelry, skirt"
watanabe_akane_(assault_lily),"1girl, medium_breasts, large_breasts, low_twintails, twintails, ribbon, long_sleeves, frills, shirt, puffy_sleeves, school_uniform, yurigaoka_girls_academy_school_uniform"
serika_(idol)_(blue_archive),"1girl, medium_breasts, small_breasts, animal_ears, cat_ears, hat, gloves, choker, black_gloves, shorts, belt, black_shorts"
eule_(signalis),"1girl, hat, dress, flower, blue_eyes, short_hair, black_hair, blue_hair"
male_byleth_(enlightened_one)_(fire_emblem),"1boy, mystical_high_collar, tiara, cape, long_sleeves, shirt, robe, armor, collared_shirt, collar, black_shirt, boots"
sizzlipede_(pokemon),"black_hat, fangs, hat, top_hat, brown_eyes, closed_eyes, yellow_eyes, chair, red_eyes, v-shaped_eyes"
manbagi_rumiko_(komi-san_wa_komyushou_desu),"1girl, large_breasts, shirt, skirt, cleavage, red_skirt, school_uniform, white_shirt, itan_private_high_school_uniform, collarbone, pleated_skirt, collared_shirt"
grecale_(swimsuit)_(kancolle),"1girl, loli, flat_chest, small_breasts, bikini, swimsuit, bow, hair_bow, shorts, flower, jewelry, side_ponytail"
alvis_(last_origin),"1girl, large_breasts, huge_breasts, gloves, shirt, twintails, jacket, black_gloves, fur_jacket, white_shirt, wings, head_wings"
horropedia_(reverse:1999),"1boy, shirt, glasses, white_shirt, gloves, collared_shirt, necktie, checkered_necktie, pants, ponytail, low_ponytail, brown_pants"
gold_ship_(la_mode_564)_(umamusume),"1girl, large_breasts, medium_breasts, animal_ears, horse_ears, dress, black_dress, jewelry, gloves, black_gloves, ponytail, asymmetrical_gloves"
mikuni_sairi_(tenshi_souzou_re-boot!),"1girl, small_breasts, side_ponytail, shirt, low_side_ponytail, white_shirt, school_uniform, mizuka_academy_school_uniform, collared_shirt, collarbone, long_sleeves, cardigan"
noel_seeker_(eiyuu_densetsu),"1girl, medium_breasts, large_breasts, hat, necktie, gloves, shorts, shirt, thighhighs, double-parted_bangs, jacket, long_sleeves"
ultraman_zero_(ultra_series),"1boy, 1girl, armor, shoulder_armor, boots, horns, ultra_bracelet_(ultraman_zero), thighhighs, collarbone, twintails, bracelet, jewelry"
luc_(suikoden),"1boy, long_sleeves, robe, shirt, belt, gloves, parted_bangs, brown_hair, green_eyes, short_hair"
sill_plain_(rance_(series)),"1girl, medium_breasts, gloves, jewelry, earrings, cape, white_gloves, thighhighs, detached_sleeves, fingerless_gloves, panties, skirt"
liliel_(2.5_jigen_no_ririsa),"1girl, large_breasts, medium_breasts, skirt, wings, white_skirt, thighhighs, belt, detached_sleeves, fake_wings, shirt, pink_belt"
lumiere_(kiddy_grade),"1girl, small_breasts, gloves, thighhighs, leotard, blue_leotard, boots, skirt, panties, white_gloves, blue_skirt, frills"
aperture_science_weighted_companion_cube_(portal_(series)),"1girl, necktie, shirt, skirt, boots, jacket, long_fall_boots_(portal), long_sleeves, panties, ponytail, long_hair, black_hair"
rosseland_(genshin_impact),"1boy, hat, bow, gloves, top_hat, black_gloves, black_hat, bowtie, long_sleeves, red_bow, red_bowtie, detached_sleeves"
kon_futaba_(soredemo_machi_wa_mawatteiru),"1girl, thighhighs, fang, skirt, jewelry, panties, school_uniform, hood, shirt, hoodie, jacket, maid_headdress"
sera_(hazbin_hotel),"1girl, large_breasts, dress, white_dress, wings, angel_wings, feathered_wings, shirt, white_shirt, bra, cleavage, panties"
camilo_madrigal_(encanto),"1boy, shirt, white_shirt, buttons, collared_shirt, argyle_jacket, cardigan, dress_shirt, long_sleeves, pants, yellow_cardigan, brown_hair"
takamiya_mio_(date_a_live),"1girl, large_breasts, medium_breasts, dress, white_dress, braid, flower, hair_flower, hat, sundress, sun_hat, white_flower"
kawaki_(boruto),"1boy, earrings, jewelry, stud_earrings, coat, collarbone, belt, belt_buckle, shirt, black_coat, black_pants, jacket"
qi_sili_(light_and_night_love),"1boy, long_sleeves, jewelry, shirt, earrings, flower, white_shirt, jacket, animal_ears, fox_ears, white_flower, robe"
xiaolang_(tsubasa_chronicle),"1boy, gloves, black_gloves, shirt, brown_eyes, brown_hair"
yamori_kou_(yofukashi_no_uta),"1boy, jacket, shirt, black_jacket, long_sleeves, shoes, white_shoes, open_jacket, shorts, black_shorts, print_shirt, white_shirt"
takase_mizuki_(comic_party),"1girl, large_breasts, side_ponytail, bow, yellow_bow, ribbon, hair_ribbon, thighhighs, panties, bikini, cleavage, swimsuit"
abyss_watcher_(dark_souls_(series)),"1boy, cape, armor, shoulder_armor, red_cape, pants, belt, torn_cape, boots, brown_pants, mask, red_eyes"
florence_(neural_cloud),"1girl, medium_breasts, small_breasts, thighhighs, hat, white_thighhighs, gloves, twintails, dress, panties, black_panties, black_gloves"
yuki_miku_(2016),"1girl, twintails, goggles, gloves, white_gloves, hat, goggles_on_head, jacket, ski_goggles, skirt, scarf, blue_jacket"
briar_(pokemon),"1girl, large_breasts, huge_breasts, earrings, jewelry, jacket, purple_jacket, sweater, pants, ribbed_sweater, shirt, sweater_under_jacket"
yamanashi_hibari_(assault_lily),"1girl, medium_breasts, large_breasts, low_twintails, twintails, bow, hair_bow, black_bow, school_uniform, yurigaoka_girls_academy_school_uniform, ribbon, shirt"
curly_(pre-crash)_(mouthwashing),"1boy, shirt, yellow_shirt, belt, long_sleeves, animal_ears, blue_shirt, dog_ears, fake_animal_ears, jacket, jumpsuit, blue_eyes"
aizawa_ema_(1st_costume),"1girl, large_breasts, medium_breasts, dress, choker, gloves, blue_dress, earrings, jewelry, black_gloves, lace_choker, frills"
etihw_(funamusea),"1girl, dress, cape, long_sleeves, shirt, capelet, collared_shirt, crown, skirt, white_dress, black_hair, short_hair"
lewis_(girls'_frontline),"1girl, large_breasts, hat, braid, black_hat, ribbon, dress, thighhighs, flower, hair_ribbon, black_gloves, gloves"
nishigaki_nana_(yuruyuri),"1girl, lab_coat, shirt, long_sleeves, collarbone, white_shirt, school_uniform, bag, black_dress, black_shirt, dress, jacket"
inami_anju_(real_life),"1girl, medium_breasts, shirt, long_sleeves, jewelry, short_sleeves, earrings, jacket, school_uniform, braid, serafuku, skirt"
touin_rina_(mermaid_melody_pichi_pichi_pitch),"1girl, medium_breasts, large_breasts, jewelry, bikini, swimsuit, earrings, shell_bikini, bracelet, dress, cleavage, gloves"
sanakan_(blame!),"1girl, large_breasts, medium_breasts, bodysuit, short_hair, black_hair, hair_between_eyes, red_eyes, grey_eyes"
konno_mitsune_(love_hina),"1girl, large_breasts, medium_breasts, shirt, cleavage, choker, long_sleeves, no_bra, pants, swimsuit, short_hair, brown_hair"
shen_zechuan_(qiang_jin_jiu),"1boy, long_sleeves, earrings, jewelry, wide_sleeves, ribbon, hair_ribbon, flower, white_ribbon, sash, long_hair, brown_eyes"
dudunsparce_(pokemon),"multiple_wings, wings, closed_eyes"
edan_(sparrowl),"1girl, large_breasts, animal_ears, black_leotard, detached_collar, fake_animal_ears, fake_tail, fangs, leotard, rabbit_ears, rabbit_tail, tail"
fletcher_(swimsuit)_(kancolle),"1girl, large_breasts, bikini, swimsuit, white_bikini, cleavage, collarbone, detached_collar, multi-strapped_bikini_bottom, headphones, long_hair, blonde_hair"
haoumaru_(samurai_spirits),"1boy, 1girl, ponytail, long_hair, black_hair, facial_hair, spiked_hair, very_long_hair"
droite_(tales),"1girl, medium_breasts, large_breasts, twintails, choker, skirt, panties, jewelry, boots, cleavage, earrings, bikini"
verniy_(saury_festival)_(kancolle),"1girl, jacket, hat, camouflage_jacket, white_hat, long_sleeves, skirt, pleated_skirt, black_skirt, boots, brown_boots, long_hair"
kagura_chizuru_(the_king_of_fighters),"1girl, large_breasts, medium_breasts, jewelry, earrings, wide_sleeves, bracelet, long_sleeves, buttons, pants, jacket, panties"
nancy_lee_(ninja_slayer),"1girl, large_breasts, huge_breasts, bodysuit, cleavage, belt, gloves, thighhighs, leotard, blonde_hair, long_hair, hair_bun"
whiscash_(pokemon),"1girl, gloves, ponytail, black_eyes, green_hair, long_hair, red_eyes"
kazama_iroha_(street),"1girl, jacket, braid, shorts, hat, shirt, pink_jacket, letterman_jacket, headphones, headphones_around_neck, bow, blunt_bangs"
shakuyaku_(one_piece),"1girl, large_breasts, jewelry, earrings, cleavage, blunt_bangs, long_sleeves, snake_earrings, apron, cape, dress, shirt"
prisoner_(elden_ring),"1girl, 1boy, small_breasts, medium_breasts, long_sleeves, pants, shirt, collarbone, frilled_sleeves, frills, boots, brown_boots"
ran_(shugo_chara!),"1girl, shirt, bag, hat, jewelry, school_uniform, skirt, absurdly_detailed_composition, bag_charm, bead_bracelet, black_choker, black_corset"
blue_poison_(elite_ii)_(arknights),"1girl, small_breasts, medium_breasts, jacket, blue_jacket, hood, shirt, twintails, white_shirt, shorts, hooded_jacket, low_twintails"
kotora_(toranoana),"1girl, large_breasts, medium_breasts, animal_ears, tiger_ears, tail, tiger_tail, swimsuit, cleavage, bikini, side-tie_bikini_bottom, collarbone"
sailor_cosmos_(bishoujo_senshi_sailor_moon),"1girl, twintails, jewelry, choker, sailor_senshi_uniform, white_choker, sailor_collar, white_sailor_collar, dress, earrings, cape, skirt"
dekomegane_(original),"1girl, small_breasts, medium_breasts, glasses, jewelry, earrings, shirt, skirt, cleavage, ponytail, bow, shoes"
seto_mitsuki_(denonbu),"1girl, medium_breasts, jacket, long_sleeves, black_jacket, choker, black_choker, dress, open_jacket, blue_dress, belt, jewelry"
medb_(first_ascension)_(fate),"1girl, large_breasts, tiara, gloves, white_gloves, coat, skirt, blunt_bangs, thighhighs, cape, fur_coat, white_thighhighs"
miyazawa_fuuka_(shiroi_suna_no_aquatope),"1girl, medium_breasts, shirt, cleavage, dress, jacket, white_dress, hat, bikini, frills, skirt, swimsuit"
lydie_malen_(atelier_(series)),"1girl, small_breasts, medium_breasts, gloves, side_ponytail, thighhighs, skirt, detached_sleeves, bow, frills, blunt_bangs, boots"
makarov_(girls'_frontline),"1girl, medium_breasts, small_breasts, hat, scarf, red_scarf, fur_hat, skirt, capelet, long_sleeves, jacket, pleated_skirt"
orimoto_rika_(human),"1girl, 1boy, dress, sleeveless_dress, black_dress, neck_ribbon, red_ribbon, ribbon, blue_dress, long_hair, black_hair, hair_between_eyes"
milinda_brantini_(heavy_object),"1girl, small_breasts, medium_breasts, bodysuit, gloves, sailor_collar, blonde_hair, short_hair, blue_eyes, hairband"
shirley_warwick_(amairo_islenauts),"1girl, large_breasts, medium_breasts, between_breasts, clothes_between_breasts, necktie_between_breasts, ribbon, hair_ribbon, flower, hair_flower, braid, long_sleeves"
lyse_hext_(final_fantasy),"1girl, medium_breasts, large_breasts, jewelry, ponytail, earrings, shorts, gloves, fingerless_gloves, detached_sleeves, cleavage, collarbone"
killjoy_(valorant),"1girl, medium_breasts, hat, glasses, jacket, green_hat, yellow_jacket, gloves, partially_fingerless_gloves, black_gloves, pants, shirt"
aislinn_wishart_(saki_(manga)),"1girl, school_uniform, miyamori_school_uniform, skirt, socks, shirt, short_sleeves, miniskirt, white_shirt, white_socks, pleated_skirt, bikini"
sakuragi_mai_(doukyuusei),"1girl, medium_breasts, large_breasts, ribbon, hair_ribbon, yellow_ribbon, collarbone, skirt, shirt, cleavage, pleated_skirt, long_sleeves"
sandayu_(housamo),"1boy, ponytail, low_ponytail, necktie, shirt, collared_shirt, facial_hair, black_hair, short_hair"
mei-fang_(arcana_heart),"1girl, large_breasts, huge_breasts, thighhighs, leotard, orange_thighhighs, highleg_leotard, twintails, dress, hair_bun, green_eyes, blue_hair"
klink_(pokemon),gears
misha_(pita_ten),"1girl, dress, long_sleeves, bow, wings, puffy_sleeves, jewelry, black_dress, juliet_sleeves, earrings, hat, grey_bow"
kurosawa_minamo_(azumanga_daioh),"1girl, mature_female, large_breasts, medium_breasts, swimsuit, one-piece_swimsuit, jacket, shirt, collarbone, long_sleeves, pants, black_hair"
matatagi_hayato_(inazuma_eleven_(series)),"1boy, soccer_uniform, brown_hair, brown_eyes, multicolored_hair, blue_hair, two-tone_hair"
mikoto_fubuki_(heaven_burns_red),"1girl, mask, shirt, gas_mask, off-shoulder_shirt, skirt, choker, hat, thighhighs, black_shirt, pleated_skirt, collarbone"
fii-tan_(fii-tan_the_figure),"1girl, medium_breasts, thighhighs, twintails, skirt, long_sleeves, miniskirt, boots, panties, hood, hoodie, striped_panties"
fatina_(druaga_no_tou),"1girl, large_breasts, thighhighs, animal_ears, cat_ears, panties, boots, thigh_boots, blonde_hair, long_hair, blue_eyes"
sakusa_kiyoomi_(haikyuu!!),"1boy, mask, mouth_mask, shirt, jacket, mask_pull, long_sleeves, volleyball_uniform, black_shirt, necktie, white_shirt, black_hair"
sagimori_arata_(saki_(manga)),"1girl, necktie, school_uniform, achiga_school_uniform, skirt, shirt, pleated_skirt, white_shirt, dress_shirt, miniskirt, socks, shoes"
hanazawa_kana_(monogatari_(series)),"1girl, medium_breasts, hat, jacket, school_uniform, skirt, collarbone, hair_ribbon, ribbon, socks, long_hair, red_eyes"
hiiragi_miki_(lucky_star),"1girl, medium_breasts, skirt, panties, purple_hair, long_hair, blue_eyes, purple_eyes"
saotome_kazuko_(mahou_shoujo_madoka_magica),"1girl, medium_breasts, glasses, animal_ears, bow, bowtie, cardigan, green_shirt, jacket, long_sleeves, open_jacket, rabbit_ears"
cat_girl_(andaerz),"1girl, medium_breasts, animal_ears, cat_ears, tail, jewelry, bracelet, cat_tail, wings, thighhighs, belt, detached_wings"
hina_misora_(wactor_production),"1girl, medium_breasts, hat, dress, flower, hair_flower, ribbon, blue_dress, blue_hat, white_flower, plaid_dress, bow"
suzumiya_haruhi_(young),"1girl, loli, shirt, orange_shirt, ribbon, shorts, hair_ribbon, denim_shorts, blue_shorts, short_sleeves, yellow_ribbon, panties"
orimura_chifuyu_(infinite_stratos),"1girl, large_breasts, medium_breasts, cleavage, swimsuit, necktie, skirt, shirt, bikini, suit, thighhighs, jacket"
ifrit_(sunburn)_(arknights),"1girl, small_breasts, horns, bikini, swimsuit, white_bikini, choker, tail, collarbone, orange_choker, cleavage, demon_horns"
algerie_(white_sand_paradise)_(azur_lane),"1girl, large_breasts, huge_breasts, swimsuit, bikini, white_bikini, hat, straw_hat, multicolored_bikini, flower, two-tone_bikini, cleavage"
fuyutsuki_kouzou_(neon_genesis_evangelion),"1boy, 1girl, old_man, long_sleeves, shirt, brown_jacket, brown_robe, brown_shirt, gloves, jacket, lab_coat, robe"
kohinata_aoi_(dokidoki_sister_aoi-chan),"1girl, small_breasts, twintails, animal_ears, tail, cat_ears, swimsuit, shirt, skirt, school_swimsuit, flower, one-piece_swimsuit"
raffaello_(azur_lane),"1girl, large_breasts, medium_breasts, thighhighs, hat, black_leotard, leotard, white_thighhighs, white_hat, twintails, horned_hat, low_twintails"
julius_will_kresnik_(tales_of_(series)),"1boy, glasses, gloves, shirt, bodysuit, black_gloves, striped_shirt, brown_hair, blue_eyes, short_hair, glowing_eyes, single_glove"
makino_kanna_(tamako_market),"1girl, school_uniform, sweater, shoes, jacket, skirt, brown_hair, brown_eyes, candy_hair_ornament, food-themed_hair_ornament, hair_ornament, short_hair"
musubime_yui_(avatar_2.0_project),"1girl, medium_breasts, large_breasts, dress, gloves, horns, choker, black_dress, shirt, sleeveless_dress, black_gloves, cleavage"
haruna_(azur_lane),"1girl, medium_breasts, twintails, horns, thighhighs, collarbone, ribbon, hair_ribbon, skirt, long_sleeves, gloves, black_thighhighs"
sejuani_(league_of_legends),"1girl, large_breasts, medium_breasts, horns, cleavage, armor, fake_horns, gloves, collarbone, web_address, short_hair, blue_eyes"
navigator_(alchemy_stars),"1boy, 1girl, jacket, shirt, long_sleeves, animal_ears, black_gloves, black_jacket, black_sandals, coat, gloves, grey_shirt"
bonanus_(genshin_impact),"1girl, medium_breasts, horns, parted_bangs, collarbone, cleavage, bodysuit, detached_sleeves, blue_horns, long_sleeves, blue_bodysuit, blue_hair"
kitaooji_hanabi_(sakura_taisen),"1girl, medium_breasts, blunt_bangs, dress, jacket, long_sleeves, ribbon, black_jacket, buttons, frills, gloves, hat"
wolf_tengu_extra_(touhou),"1girl, hat, tokin_hat, animal_ears, bike_shorts, detached_sleeves, fingerless_gloves, gloves, long_skirt, shirt, skirt, tail"
choi_mochimazzui_(tamako_market),"1girl, loli, flat_chest, small_breasts, jewelry, bracelet, dress, choker, no_panties, dress_lift, black_hair, short_hair"
helios_(sailor_moon),"1boy, 1girl, horns, jewelry, twintails, earrings, wings, boots, bow, choker, elbow_gloves, flower"
kommo-o_(pokemon),"1girl, tail, fangs, gloves, skin_fangs, armor, black_gloves, scale_armor, very_long_tail, dragon_tail, long_hair, grey_eyes"
shiina_kagari_(science_adventure),"1girl, medium_breasts, blunt_bangs, shirt, long_sleeves, white_shirt, skirt, bow, collared_shirt, dress, short_sleeves, blue_dress"
erlking_heathcliff_(project_moon),"1boy, 1girl, coat, scarf, gloves, brown_coat, long_sleeves, belt, brown_gloves, pants, jacket, parted_bangs"
asmodeus_alice_(mairimashita!_iruma-kun),"1boy, pointy_ears, shirt, long_sleeves, ascot, jacket, jewelry, fangs, long_bangs, white_ascot, black_shirt, white_jacket"
salmon_(kancolle),"1girl, medium_breasts, swimsuit, one-piece_swimsuit, skirt, black_one-piece_swimsuit, gloves, thighhighs, black_gloves, fingerless_gloves, grey_skirt, grey_thighhighs"
thea_(fire_emblem),"1girl, medium_breasts, armor, gloves, fingerless_gloves, skirt, blue_gloves, shoulder_armor, thighhighs, belt, boots, headband"
mysterious_heroine_xx_alter_(fate),"1girl, large_breasts, medium_breasts, glasses, swimsuit, bikini, black_bikini, braid, cleavage, long_sleeves, jacket, black_jacket"
koashi_mutsumi_(alice_gear_aegis),"1girl, loli, small_breasts, thighhighs, jacket, swimsuit, leotard, black_thighhighs, gloves, open_jacket, animal_ears, bikini"
tuxedo_sam_(sanrio),"1girl, 1boy, shirt, bow, hat, long_sleeves, white_shirt, bowtie, white_hat, hair_bow, skirt, collared_shirt"
arisia_hellioxenes_(kourin_tenshi_en_ciel_rena),"1girl, large_breasts, breasts_out, bodysuit, thighhighs, boots, thigh_boots, gloves, cape, black_bodysuit, elbow_gloves, torn_bodysuit"
fujinami_ryuunosuke_(urusei_yatsura),"1girl, large_breasts, medium_breasts, cleavage, shirt, pants, jacket, school_uniform, bikini, crossdressing, crossdressing_(ftm), swimsuit"
oyama_mahiro_(male),"1boy, shirt, white_shirt, crossdressing, crossdressing_(mtf), jacket, long_sleeves, necktie, school_uniform, short_sleeves, wing_collar, blue_jacket"
jusis_albarea_(eiyuu_densetsu),"1boy, 1girl, large_breasts, coat, gloves, long_sleeves, double-parted_bangs, jacket, ascot, belt, necktie, open_coat"
zygarde_(complete),"wings, white_eyes"
hiwatari_kanae_(gakuen_idolmaster),"1girl, medium_breasts, apron, dress, white_apron, maid_headdress, ribbon, puffy_sleeves, hair_ribbon, long_sleeves, black_ribbon, green_dress"
serena_cadenzavna_eve_(senki_zesshou_symphogear),"1girl, small_breasts, gloves, dress, bikini, parted_bangs, swimsuit, bow, cleavage, leotard, shirt, brown_hair"
amiya_(guard)_(touch_the_stars)_(arknights),"1girl, medium_breasts, hood, animal_ears, hood_up, gloves, pants, jacket, rabbit_ears, white_pants, white_gloves, white_jacket"
syr_flover_(dungeon_ni_deai_wo_motomeru_no_wa_machigatteiru_darou_ka),"1girl, medium_breasts, large_breasts, ponytail, dress, maid_headdress, apron, cleavage, long_sleeves, ribbon, white_dress, flower"
kitahara_jou_(umamusume),"1boy, 1girl, hat, long_sleeves, shirt, sweater_vest, animal_ears, bow, bowtie, brown_hat, brown_pants, brown_shoes"
inu_(sakamata_chloe),"1girl, large_breasts, cleavage, fang, braid, swimsuit, bikini, skirt, bow, jacket, red_skirt, black_bikini"
silver_hair-chan_(ramchi),"1girl, small_breasts, braid, side_braid, single_braid, long_sleeves, bra, collarbone, shirt, blunt_bangs, panties, white_shirt"
ha-chan_(ado),"1girl, shirt, long_sleeves, white_shirt, gloves, bow, bowtie, black_bow, black_bowtie, blue_flower, flower, white_gloves"
suomi_(korvatunturi_pixie)_(girls'_frontline),"1girl, medium_breasts, dress, thighhighs, blue_dress, long_sleeves, white_thighhighs, off-shoulder_dress, fur-trimmed_dress, ribbon, cleavage, blue_ribbon"
odin_(fire_emblem),"1boy, cape, jewelry, earrings, sandals, armor, bag, gloves, hood, pants, yellow_cape, blonde_hair"
